project_id,project_category,main_applicant_institution,main_applicant_function,main_applicant_first_name,main_applicant_surname,main_applicant_laboratory_name,main_applicant_postcode,main_applicant_city,project_title,project_acronym,project_abstract,start_date,project_duration_months,total_budget_requested
EXPLORE/FRAME,Explore,EPFL,Assistant Professor,Sara,Bonetti,EPFL ENAC IIE CHANGE,1951,Sion,A FAIR Protocol for Hybrid Models and Data in Hydrology (FRAME),FRAME,"Hybrid models, which combine physics and machine learning (ML) based models, are becoming increasingly popular in hydrology and the broader Earth Science community due to their potential for improved prediction and process representation. However, hybrid models pose unique challenges to open research practices, including the widely accepted FAIR principles. Unlike physics-based models, the reusability of hybrid models is hindered by the integration of ML models which dynamically change with training data. Furthermore, existing model and data repositories are not designed to host hybrid models which contain code, ML models, and associated training data. To address these challenges, FRAME will collaboratively design, implement, and test a standardised FAIR protocol tailored for hydrological hybrid models. The protocol will consist of coding standards for interoperability between different model components, a unified metadata specification accounting for different types of physics and ML-based models, and a python package leveraging existing model and data repositories widely used in the hydrology (HydroShare) and ML (DLHub) communities to share and retrieve hybrid models. To ensure wider and long-term impact of the project beyond its lifetime, the developed protocol will be actively used and improved by participating groups in the ETH Domain and Europe and will ultimately be transitioned to a community-driven protocol, inviting participation from the wider scientific community.",2024-11-01,18,146705
EXPLORE/GENDIB-ORD,Explore,WSL,Dr.,Felix,Gugerli,Biodiversity and Conservation Biology,8903,Birmensdorf,Promoting Open Research Data practice for genetic diversity (meta)datasets (GenDiB-ORD),GenDiB-ORD,"The prototype of a new national database on intra-specific genetic diversity in populations of wild species in Switzerland, GenDiB, is currently being developed as part of a project co-financed by the Federal Office for the Environment (FOEN). With this ORD initiative proposal, we aim at (i) development of new tools to support simple procedures for dataset up-/download and to implement attractive visualization features and (ii) community building among researchers and stakeholders through various interactive communication means. Our dedicated activities, in parallel to further developing GenDiB as a beta version for subsequent permanent operation and maintenance, should promote the standardized use of GenDiB as the core repository for respective datasets within the community of researchers and stakeholders in conservation management in Switzerland, and possibly beyond. Integrating GenDiB into the national network of database holding species-level occurrence data (InfoSpecies) will complement these databases to cover the genetic level of biodiversity, which is fundamental for population and species persistence in the context of environmental change.",2024-10-01,9,150000
EXPLORE/HT-CHEMBORD,Explore,EPFL,Executive director (Dr),Pascal,Miéville,EPFL SB ISIC SWISSCAT,1015,Lausanne,High-Throughput Chemistry Based Open Research Database,HT-CHEMBORD,"Experimental data from chemical synthesis are complex, rarely openly available in a computational format, and mostly biased toward positive results, which represent a minority of cases. This situation strongly impacts the development of efficient predictive models in chemistry, drug discovery, energy storage or generation, and new materials development. To improve data quality and availability for the chemist community, the Swiss Cat+ West Hub and SDSC, with support from the SWITCH Foundation, propose to jointly develop HT-CHEMBORD. This project combines a global chemical synthesis robust and open ontology based on high quality FAIR compliant experimental data generated initially in the Swiss Cat+ hubs and then thanks to future collaborations by other high-throughput validated laboratories, an open access database with complete data integrity management and a set of query tools allowing the community of chemists and data scientists to explore the unique dataset offered. Exploratory work on the data validation strategy, with a view to extending it to external data providers, is already planned in the current project.",2024-07-01,12,146000
EXPLORE/ILOG,Explore,Empa,Group Leader,Bruno,Schuler,nanotech@surfaces,8600,Duebendorf,Integrated Instrument and Inventory Logbook for Experimental Science Labs (iLog),iLog,"Our aim is to develop practices and tools to trace and share the state of shared inventory items in a multi-user laboratory, linking this information to the personal Electronic Lab Notebook (ELN) of each user. With this practice, we seek to fill a big blank spot in the tracking of mutable laboratory information management system (LIMS) objects. A tool akin to a digital inventory logbook will be developed as an openBIS extension to support a wide range of experimental laboratories with variable types of measurement equipment and inventory items. This inventory logbook will complement the native openBIS ELN-LIMS, with focus on measurement equipment and inventory management. The implementation will prioritize generality and user-friendliness to minimize adaptation barriers and promote the dissemination of this ORD practice.",2024-09-01,18,149260
EXPLORE/INOAP,Explore,ETH Zürich,Professor,Richard,Hahnloser,Birdsong and Natural Language Group,8057,Zürich,Interfacing Natural Language Processing (NLP) Tools with Open Access Publications,INOAP,"Scientific publications are among the most valuable achievements of mankind. Thanks to open research data (ORD) such as open access publications, the world’s scientific output is increasingly accessible. But access to this massive trove of data is not enough—we must be able to assimilate the knowledge it contains and put it to good use. We need accessory technologies to harness knowledge for the world’s benefit. Search engines and their keyword-driven interfaces are very limited in their ability to bring scientific knowledge to end users, i.e. researchers with specific questions and authors of scientific manuscripts. Tasks such as discovering, reviewing, summarizing, and generating discussions from the scientific literature are easier to accomplish as our Natural Language Processing (NLP) techniques advance. We propose to radically increase the value of the vast trove of open access scientific content by aggregating an OR database of more than 140 Million papers and by providing interfaces to state-of-the-art NLP tools. We intend to publish the code and content of this database, to provide access via an application programming interface (API), and to operate a web-based application that uses NLP algorithms to help authors of scientific manuscripts to assimilate the scientific literature. Our efforts will help scientists discover, characterize, and harness the store of knowledge in open access publications and streamline the scientific discovery and writing processes.",2022-09-01,18,150000
EXPLORE/INSCRIBE,Explore,Eawag,Group Leader (Dr.),Jörg,Rieckermann,Intelligent Network Operations,8600,Dübendorf,Exploring and strengthening reproducible research practices in urban drainage (INSCRIBE),INSCRIBE,"To enhance the reproducibility of research practices within the urban drainage community, particularly focusing on improving the interpretability and reusability of both data and code, it is imperative to enhance the documentation of the origins of open datasets and the outcomes of workflows and models utilizing these datasets. Our goal is twofold: develop prototype Open Research Data (ORD) tools with the Swiss Data Science Center and assess their effectiveness with the international urban drainage community. We will explore if RENKU can serve as a comprehensive platform for this, given its features like collaborative workflow management, version control, and integration with data science tools, promoting reproducibility, and efficient collaboration among researchers. Planned use cases include i) individual researchers sharing results, ii) benchmarking rainfall-runoff models in our department, iii) and distributed groups providing pre-processed datasets with full provenance information. We will start by enhancing the FAIRness of a 20-year-old dataset on sewer mixing. Additionally, we will evaluate different EPA-SWMM model implementations and engage the international urban drainage community in ORD practices. This initiative could establish a cornerstone for data sharing in urban drainage, extending beyond Eawag's research.",2025-01-01,18,150000
EXPLORE/MED-WEAR,Explore,ETH Zürich,Senior Scientist (Head SCAI Lab),Diego,Paez-Granados,SCAI Lab,6007,Nottwil,Open API and Interoperability in Medical Wearable Data for Healthcare Research,MED-WEAR,"The MED-WEAR project addresses the absence of data interoperability in wearable devices in clinical practice and research, i.e., each manufacturer, service provider and researcher, executes unique solutions for data capturing, storing, and formatting in each study. In response to this challenge, we propose the development of a Wearable API (MED-WEAR), which provides a standardised framework between medical wearables and robotic devices to collect data in multiple research and clinical facilities, whilst reducing the workload and costs by applying FAIR principles in clinical research with this devices. We aim to establish standardised data collection in the ETH domain and beyond, herewith, empowering the research in healthcare community for streamlined data collection with wearables to foster innovation with wearables and define open standards. MED-WEAR impacts clinical and data science research by enabling lifelogging for individuals, promoting transparency in patient monitoring across rehabilitation laboratories. Engaging with the Swiss Neuro Rehab Initiative and collaboration across ETH RESC, RELAB, SMS lab, SCAI lab and DART lab at LLUI, the project establishes an interoperable platform, with the potential to provide a new ORD service within the ETH domain.",2024-12-01,18,150000
EXPLORE/NHCDATAVISION,Explore,ETH Zürich,Professor,Consuelo,De Moraes,Biocommunication/ ETH Entomological Collection,8092,Zürich,Enhancing 3D data visualization standards and practices for natural history collections,NHCDataVision,"3D imaging is a cutting-edge method for digitizing natural history collections, offering immense potential for taxonomy, general biology, and education. By analyzing 3D models, specialists worldwide can instantly access rare reference objects from collections, aiding in field interpretation and various scientific and educational applications. As 3D scanning becomes more efficient and digitization initiatives invest heavily in generating 3D data, 3D models are anticipated to become widespread. Surprisingly, there is limited research on how these 3D data are being used for research and education in natural history collections. Initial comparisons suggest that current 3D models are complex sets of data, lack suitable tools for analysis and modification, and require linking to additional metadata for utility in taxonomic research and education. This proposal aims to establish additional standards for 3D data preparation and develop best practice guidelines to ensure the usability of natural history collections data. Rather than focusing on developing ready-to-use solutions, the emphasis will be on identifying needs, documenting recommendations, and testing them with expert user groups. The outcomes will directly impact data infrastructures in the U.S., Europe, and Switzerland, serving over 500 institutions. They will also enable expert groups worldwide, particularly in the Global South, to virtually access natural history collection specimens for various scientific purposes.",2024-09-01,12,150000
EXPLORE/NMRPRIME,Explore,ETH Zürich,Professor (Prof. Dr.); Senior Scientist,Roland,Riek,Laboratory of Physical Chemistry,8093,Zürich,Initiative for primary bio-NMR open research data,NMRprime,"Nuclear Magnetic Resonance (NMR) spectroscopy, one of the major techniques in structural biology, suffers from the lack of an open database for its primary data, the multidimensional NMR spectra. These spectra are the basis for studies in atomic detail of the structure, dynamics, interactions, and functions of proteins, but are so far generally not made available to other researchers. Our NMRprime initiative for primary bio-NMR open research data will establish a database following the FAIR principles for biomolecular NMR spectra and explore its coordination with existing open databases for related, derived data, such as the Protein Data Bank (PDB) for protein structures and the Biological Magnetic Resonance Bank (BMRB) for chemical shift assignments. NMRprime will provide the framework for upload of NMR spectra in all commonly used formats, automatic annotation using machine learning techniques, search facilities, and open access to the archived spectral data. The long-term goal, to be achieved together with PDB, BMRB, and journal representatives, is to make the deposition of the underlying NMR spectra an integral part of bio-NMR projects published in peer-reviewed journals in the same way as the requirement to deposit protein structures in the PDB. We are singularly suited for the NMRprime initiative because of decades of experience in bio-NMR and the possibility to build NMRprime on the re-use of central components of our recent fully automated NMR spectra analysis system.",2022-08-01,18,150000
EXPLORE/OPEN-ACTRIS,Explore,PSI,Senior scientist,Robin,Modini,Laboratory of Atmospheric Chemistry,5232,Villigen,OPEN-ACTRIS: Building FAIR data chains for atmospheric observations in the ACTRIS-Switzerland network.,OPEN-ACTRIS,"The OPEN-ACTRIS project aims to explore and build up FAIR data chain standards and strategies for atmospheric observations collected in Switzerland as part of the Aerosol, Clouds and Trace Gases Research Infrastructure (ACTRIS). ACTRIS is a pan-European network that aims to deepen our understanding of climate change and air pollution by producing high-quality data on short-lived atmospheric constituents. ACTRIS-Switzerland is the multi-institutional Swiss node of the network. ACTRIS has a comprehensive vision for FAIR data that covers all stages of the research data life cycle through the definition of data levels covering raw measurements, processed data, and elaborated data products. The OPEN-ACTRIS project aims to implement these ORD concepts in the ETH domain and to explore best ORD practice within ACTRIS-Switzerland by combining existing tools and infrastructure from the ETH domain and the ACTRIS community. We will achieve this by building FAIR data chains for the aerosol observations continuously recorded at field measurement stations on the Jungfraujoch and in Payerne, and for the aerosol and gas measurements performed on a campaign-basis in the PSI Atmospheric Chemistry Simulation Chambers.",2024-09-01,12,150000
EXPLORE/OPENCHEMUSES,Explore,Empa,Scientist,Zhanyun,Wang,Technology & Society Laboratory,9014,St. Gallen,A Toolbox for Providing Open Data on Chemical and Material Uses (OpenChemUses),OpenChemUses,"Open data on the uses are key for the safety assessment of existing chemicals and materials, and for the design of novel safer ones. However, the availability and accessibility of use data in the public domain is limited. For many chemicals and materials, use data have been reported, but they cannot be readily extracted and used by scientists, regulators and the industry on a large scale. This is because they are scattered over the public domain, and are often reported using different terminologies and in a non-machine-readable/processable format. Against this background, this project aims to enable and engage the scientific and regulatory communities to build up open FAIR data on the uses of chemicals and materials by developing and disseminating a toolbox of the missing tools. In particular, the toolbox will include a standard and templates for future reporting, as well as a set of novel cheminformatics and natural language processing-based workflows and tools for automated extraction and harmonization of existing reporting from different types of sources, to be used by researchers within the ETH-Domain, as well as external researchers including industrial scientists, regulators, and civil society organisations. The project will take a participatory approach, with stakeholders within and outside the ETH-Domain to be engaged in the testing, finalization and dissemination of the toolbox.",2022-09-01,17,150000
EXPLORE/OPENNEXUS-E,Explore,ETH Zürich,Executive Director,Christian,Schaffner,Energy Science Center (ESC),8006,Zürich,Supporting open science with a plugin-based research platform for energy models,OpenNexus-e,"The Nexus-e platform is a powerful tool for assessing the impacts of potential pathways for the Swiss energy system. This project aims to open-source both the model input data and code, adhering to FAIR Open Research Data and Open Science principles. The objective is to develop a modular framework allowing quick integration of new models and enabling easy execution of existing ones. Currently featuring five models, Nexus-e facilitates interdisciplinary research and policy analysis in energy systems. The project seeks to streamline the process of adding new models through a plugin architecture and implementing an API for standardized interaction with scenarios. By fostering collaboration and providing access to diverse input data, the project aims to enhance the usability and impact of Nexus-e within and beyond the ETH community, thereby advancing energy system research and supporting policy development.",2024-10-01,18,111675
EXPLORE/OPENPULSE,Explore,EPFL,Head of ORD Engagement & Services,Oksana,Riba Grognuz,Swiss Data Science Center (EPFL VPA VPA-AVP-CP SDSC),1015,Lausanne,OpenPulse: Assessing Open Science community metrics for Open Source Software,OpenPulse,"OpenPulse: Assessing Open Science community metrics for Open Source Software aims to redefine the measurement of Open Science by focusing on Open Source Software (OSS) from EPFL. It addresses the limitations of current Open Science metrics, which primarily track Open Access publications, by proposing a new framework to evaluate the development of OSS and its community impact. This involves developing a tool, OpenPulse, to monitor OSS activities, establish reliable OSS datasets, and create visualizations for real-time impact assessment. The project emphasizes collaboration, community engagement, and the development of discipline-specific dashboards, aiming to foster a more inclusive and comprehensive understanding of Open Science's impact beyond traditional publications. Our project aims to solve that issue, by investigating ways to identify Open Source Software coming out of EPFL, defining measures of their FAIRness and investigating community metrics that will provide us with an understanding of the impact and health of a project. This therefore falls within the objective of both specifying ORD standards and prototyping a new ORD tool for monitoring Open Science outputs and their impact. Through providing visibility to these outputs, our intention is also to help researchers build and find their communities to engage in collaboration around shared resources. Crucially, we hold the view that Open Science extends beyond institutional boundaries and is instead rooted in discipline-specific communities and their individual definitions of the concept. The project will therefore involve workshops to consult researchers about the needs of their specific communities, and build individual dashboards that are catered to these needs. Once the project is robust and deployed, expansion to inter institutional collaborations will be developed.",2024-07-01,18,150000
EXPLORE/OPENSPM,Explore,EPFL,Associate Professor,Georg,Fantner,EPFL STI IBI-STI LBNI,1015,Lausanne,An ecosystem for community driven scanning probe microscopy research and development - OpenSPM,OpenSPM,"Scientific instruments these days are often sophisticated, intelligent systems consisting of complex hardware, electronics, and software components. To innovate in the technique, one must get access to all levels; instrument, hardware, software. Unfortunately, most commercial instrument manufacturers keep their technology proprietary, and provide very little access to the hardware and software. Before one can improve things, one has to either hack into the commercial system, or completely re-engineer the instrument. In our research field (scanning probe microscopy) this has become painfully noticeable as a marked decrease in innovation. In this project we propose to bring together the community to share and standardise their hardware and software developments in the field of SPM. The goal is to reach an open development ecosystem in which new and existing research projects can be embedded without having to first reinvent the wheel. We plan to leverage our existing open hardware AFM projects and their early adopters to generate an OpenSPM ecosystem consisting of the Open Hardware tools (hardware and software), an extensive knowledge base and development resources, a world-wide user community, and a sourcing platform that helps people adopt the open hardware.",2022-09-01,18,150030
EXPLORE/OPENSPM+,Explore,EPFL,Associate professor,Georg,Fantner,EPFL STI IBI-STI LBNI,1015,Lausanne,Establishing the ecosystem for community driven scanning probe microscopy research and development,OpenSPM+,"Custom instruments designed by researchers in academia are a key resource for advancing discovery and technology. However, they are very difficult and thus rarely shared openly with the scientific community. In the previous Explore project we have built an OpenSPM ecosystem around our custom OpenSPM prototypes. Through the rapid growth and success of this project, we have identified what will be required to sustain the growth of the OpenSPM ecosystem to become a global platform for future SPM research and development. In this second Explore grant call, we will continue to increase the available open technology, focus on maintenance and long-term viability by developing a professional development framework, and expand the community through international outreach and expansion beyond the field of SPM. The result will be a long-term sustainable, globally distributed network of users and developers from academia and industry.",2024-08-01,18,150000
EXPLORE/OPENWASHDATA,Explore,ETH Zürich,Prof. Dr.,Elizabeth,Tilley,Global Health Engineering,8092,Zurich,Open WASH data by building Open Science Competencies and Community,openwashdata,"Poor data management practices hold back progress in the Water, Sanitation, and Hygiene (WASH) sector, as WASH professionals often lack the training in data management competencies necessary for organizing, storing, and sharing data aligned with FAIR principles. This project addresses this gap by building the openwashdata community, which will support members in using open-source computational tools and further developing competencies consistent with FAIR data standards. The community aims to facilitate the publication of over 50 previously unpublished datasets contributed by members, fostering open science. The project also seeks to develop a global community of students and practitioners, create an accessible open data platform for WASH-related data, and research the technical, pedagogical, and political factors necessary for expanding and replicating this initiative to become the most comprehensive host and training platform in the open science WASH sector. The ultimate goal is to build a lasting, passionate network of WASH professionals applying FAIR data principles to benefit the entire sector.",2022-10-01,18,149990
EXPLORE/OPENWASHDATA,Explore,ETH Zürich,NA,Elizabeth,Tilley,NA,NA,NA,Open WASH data by establishing Data Stewards and increasing FAIRness,openwashdata,NA,NA,NA,15000
EXPLORE/SOLIDIPES,Explore,EPFL,Dr,Guillaume,Anciaux,EPFL ENAC IIC LSMS,1015,Lausanne,Solidipes: an interoperable tool for curation of research data,Solidipes,"Achieving FAIR open-science needs reproducible scientific data and publications to be associated. While choosing the appropriate tools and storage facilities is already difficult, ensuring the quality of an open publication of datasets relies heavily on data curation procedures. Curation calls for proper data validations and annotations, which are clearly discipline dependent. This proposal aims at exploring the extension of Solidipes, a dataset curation software, to make it suitable to each scientific discipline's needs, but also to broaden the platforms (repositories) Solidipes can interact with. For this project, researchers from computational mechanics and astrophysics associate with a member of the EPFL library in order to gather the experience necessary to cover this ambitious explore project. If funded, the project's team will collaborate with the teams of Episciences (French diamond open access platform) and with Renku (Swiss platform deploying tools for reproducible and collaborative data analysis). This proposal describes how to fill gaps towards a modern and multidisciplinary ecosystem for dataset+paper publications.",2024-09-01,16,150000
EXPLORE/SUCCESS,Explore,ETH Zürich,NA,André,Kahles,NA,NA,NA,Starting a User Community for Cutting-Edge Sequence Search,SUCCESS,NA,NA,NA,149996
EXPLORE/XCELL,Explore,WSL,Senior Scientist (PhD),Patrick,Fonti,"Dendrosciences, Forest Dynamics",8903,Birmensdorf,Towards an Open and Fair International Tree-Ring database for intra-annual tree-ring data and images (Xcell),Xcell,"Tree-ring research has played a pivotal role in unraveling past environmental conditions, understanding climate variability, and providing valuable insights into ecological changes over time. In the current era of digitalization, driven by technological advancements, the field is undergoing a profound transformation, delivering unprecedented details crucial for enhanced comprehension and exploration across various research domains. However, the absence of a suitable repository and the emerging imbalance between resource-intensive data producers and users pose significant challenges to data-sharing practices. This project aims to address these challenges by showcasing an operational solution, exemplified through intra-annually resolved wood cell anatomical data and images, involving the establishment of a modern, robust, and flexible repository and simultaneous redefinition of incentives for data producers. The Xcell Hub, through the creation of a community-specific, interactive, visualizable, and user-friendly online data repository, aims to foster Open Research Data (ORD) practices. Specifically, the project will develop an ORD-oriented operational web-based prototype designed for handling and hosting intra-annual resolved tree-ring data, focusing initially on Quantitative Wood Anatomy (QWA) data produced with the ROXAS software. The hub will collect, harmonize, centralize, preserve, and archive QWA data, metadata, and images, promoting openness, reproducibility, and collaboration between data producers and users. Features include a user-friendly Shiny web interface linked to a PostgreSQL database, comprehensive documentation, interactive data visualization, and a data policy that encourages sharing while recognizing contributors. This platform addresses current inequalities in data publication and access within the QWA and dendrochronology communities, providing a scalable example of good ORD practices through decentralized interactivity, rewarding mechanisms, transparent data assessment, and enhanced data quality.",2024-09-01,18,150000
